DATASET,TYPE,MODEL_TYPE,ZETA,FLIP,PROP,ACCURACY,STD
THYROID,FLOW3,SGDClassifier,4,0,6,0.6558011049723758,0.3654559597703329
THYROID,FLOW3,SGDClassifier,4,0,8,0.7376795580110497,0.298862380477569
THYROID,FLOW3,SGDClassifier,4,1,0,0.7219889502762431,0.28338954895687946
THYROID,FLOW3,SGDClassifier,4,1,2,0.5840883977900553,0.42638419981523734
THYROID,FLOW3,SGDClassifier,4,1,4,0.7299447513812155,0.33688358937684815
THYROID,FLOW3,SGDClassifier,4,1,6,0.8921546961325968,0.0726583172392271
THYROID,FLOW3,SGDClassifier,4,1,8,0.7054143646408841,0.3472146811278139
THYROID,FLOW3,SGDClassifier,4,2,0,0.8412154696132597,0.2637627927168851
THYROID,FLOW3,SGDClassifier,4,2,2,0.5861878453038674,0.40507022351972055
THYROID,FLOW3,SGDClassifier,4,2,4,0.6534806629834253,0.3934688559545833
THYROID,FLOW3,SGDClassifier,4,2,6,0.6686187845303866,0.36755110409547775
THYROID,FLOW3,SGDClassifier,4,2,8,0.6056353591160221,0.4413784765047492
THYROID,FLOW3,SGDClassifier,4,3,0,0.5043093922651934,0.4219657883316957
THYROID,FLOW3,SGDClassifier,4,3,2,0.5118232044198894,0.44248063504872537
THYROID,FLOW3,SGDClassifier,4,3,4,0.26375690607734803,0.3603723785288625
THYROID,FLOW3,SGDClassifier,4,3,6,0.09281767955801104,1.4628472785736255e-17
THYROID,FLOW3,SGDClassifier,4,3,8,0.25812154696132594,0.34863165520716033
THYROID,FLOW3,SGDClassifier,5,0,0,0.8616574585635359,0.16681285368666754
THYROID,FLOW3,SGDClassifier,5,0,2,0.7455248618784531,0.30602794609661144
THYROID,FLOW3,SGDClassifier,5,0,4,0.8517127071823204,0.21682174794155687
THYROID,FLOW3,SGDClassifier,5,0,6,0.5582320441988949,0.38825688794163404
THYROID,FLOW3,SGDClassifier,5,0,8,0.8435359116022101,0.2654082411688852
THYROID,FLOW3,SGDClassifier,5,1,0,0.692375690607735,0.4045866408765251
THYROID,FLOW3,SGDClassifier,5,1,2,0.6222099447513812,0.3731188653737181
THYROID,FLOW3,SGDClassifier,5,1,4,0.5851933701657458,0.35448061854621515
THYROID,FLOW3,SGDClassifier,5,1,6,0.7732596685082873,0.3587245540690881
THYROID,FLOW3,SGDClassifier,5,1,8,0.6386740331491713,0.38959013165325834
THYROID,FLOW3,SGDClassifier,5,2,0,0.8104972375690608,0.22134732420635903
THYROID,FLOW3,SGDClassifier,5,2,2,0.6956906077348066,0.37971241307168396
THYROID,FLOW3,SGDClassifier,5,2,4,0.5805524861878453,0.36003158540401425
THYROID,FLOW3,SGDClassifier,5,2,6,0.7527071823204421,0.30412369347033025
THYROID,FLOW3,SGDClassifier,5,2,8,0.6893922651933703,0.41170711539232974
THYROID,FLOW3,SGDClassifier,5,3,0,0.8451933701657459,0.23212921942096382
THYROID,FLOW3,SGDClassifier,5,3,2,0.4135911602209944,0.3971692345328663
THYROID,FLOW3,SGDClassifier,5,3,4,0.15834254143646412,0.2072078069038507
THYROID,FLOW3,SGDClassifier,5,3,6,0.24342541436464088,0.22532530529214082
THYROID,FLOW3,SGDClassifier,5,3,8,0.25712707182320443,0.29136978281087483
